GEOID,2010 Total Population,2010 White Population,2010 African American Population,2010 Asian Population,2010 Other Races Population,2010 Hispanic Population,2010 Total Households,2010 Occupied Households,2010 Vacant Households,2000 Total Population,2000 White Population,2000 African American Population,2000 Asian Population,2000 Other Races Population,2000 Total Housing Units,2000 Occupied Housing Units,2000 Vacant Housing Units,2000 Hispanic Population
3.91591E+11,1610,1584,5,0,21,9,680,636,44,1572,1542,5,0,25,660,595,65,3
3.91591E+11,782,760,2,3,17,4,330,299,31,811,788,5,2,16,311,297,14,2
3.91591E+11,1455,1425,2,4,24,8,518,498,20,1120,1091,6,4,19,398,383,15,7
3.91591E+11,2430,2365,10,20,35,31,864,819,45,1967,1931,8,16,12,716,674,42,10
3.91591E+11,1511,1358,54,20,79,35,500,477,23,935,880,24,4,27,274,264,10,7
3.91591E+11,5137,4810,45,152,130,77,1635,1553,82,2131,2006,22,49,54,704,686,18,32
3.91591E+11,1097,1065,5,10,17,4,428,403,25,1111,1099,4,0,8,389,376,13,5
3.91591E+11,1249,1207,10,4,28,17,517,464,53,1324,1290,3,5,26,516,482,34,15
3.91591E+11,2063,1939,26,30,68,34,808,769,39,2085,2018,21,25,21,793,755,38,23
3.91591E+11,1708,1610,21,19,58,68,756,678,78,1786,1754,4,7,21,764,722,42,15
3.91591E+11,2972,2844,24,51,53,35,1219,1127,92,1991,1921,6,35,29,873,815,58,32
3.91591E+11,2597,1799,783,11,4,21,1,1,0,1758,859,874,1,24,1,1,0,15
3.91591E+11,1396,1338,9,6,43,42,621,525,96,1730,1697,2,6,25,713,670,43,12
3.91591E+11,1856,1726,25,33,72,38,926,876,50,1526,1453,18,17,38,751,717,34,24
3.91591E+11,545,538,1,2,4,10,267,207,60,693,667,12,5,9,289,266,23,1
3.91591E+11,1481,1393,20,24,44,9,733,665,68,1126,1115,2,2,7,462,438,24,10
3.91591E+11,825,802,9,5,9,9,352,314,38,863,843,10,1,9,328,315,13,10
3.91591E+11,1116,1042,42,14,18,10,441,406,35,1124,1054,56,4,10,423,398,25,3
3.91591E+11,2931,2056,43,766,66,58,898,841,57,231,221,0,2,8,84,80,4,7
3.91591E+11,2227,1971,18,187,51,24,1061,974,87,1936,1859,21,19,37,904,762,142,3
3.91591E+11,1718,1669,4,9,36,16,661,638,23,1644,1615,6,1,22,596,584,12,10
3.91591E+11,1075,1050,6,8,11,8,420,401,19,1180,1164,7,0,9,492,454,38,5
3.91591E+11,1426,1388,7,13,18,18,546,525,21,1323,1310,1,5,7,467,454,13,6
3.91591E+11,2373,2303,17,11,42,18,900,851,49,1888,1848,5,5,30,705,668,37,5
3.91591E+11,2515,2453,18,22,22,17,874,847,27,1376,1349,8,5,14,495,481,14,5
