,Latitude (X),Longitude (Y),POI_TYPE,Pop_Den,Cam_Present,Tornado Distance,Tornado Magnitude,Classification (Output)
75,39.974211,-83.00104,1,1182.9861130000002,1.0,5.5,3,1
76,40.006568200000004,-83.0511932,2,6188.964341,0.0,13.1,2,1
77,39.941802200000005,-82.83084170000001,2,3049.654649,0.0,18.3,3,1
78,40.0323669,-83.0006125,2,5323.827326,0.0,5.5,3,1
79,40.11536995,-83.41327914,None,56.34560208,0.0,0.0,0,0
80,39.94124875,-83.70954311,None,,0.0,36.8,5,0
81,39.7636027,-83.37856674,None,22.01208023,0.0,35.8,2,0
82,40.22843586,-83.61337968,None,,0.0,0.0,0,0
83,39.75780228,-83.36732952,None,22.01208023,0.0,35.8,2,0
84,39.89688164,-83.01817452,1,709.9142373,0.0,0.0,0,0
85,40.07223924,-83.2036622,None,467.6142215,0.0,13.1,2,0
86,39.77862663,-83.38863534,None,22.01208023,0.0,35.8,2,0
87,39.88006595,-83.62593166,None,,0.0,36.8,5,0
88,39.99644291,-83.72152348,None,,0.0,0.0,0,0
89,39.89187679,-83.66199159,None,,0.0,36.8,5,0
90,40.13452618,-82.97433895,2,5121.3674280000005,0.0,0.0,0,0
91,39.85101569,-83.38102143,None,56.87241998,0.0,24.7,2,0
92,39.83294943,-83.26533137,None,34.42414211,0.0,5.2,3,0
93,39.84849871,-83.09166429,None,479.0890916,0.0,0.0,0,0
94,40.29987864,-83.12246123,None,1750.8802170000001,0.0,29.7,2,0
95,40.11162544,-83.09351354,2,1042.556055,0.0,13.1,2,0
96,39.90610247,-83.19047277,None,231.3519039,0.0,5.2,3,0
97,40.29650237,-83.1296615,None,50.92430685,0.0,29.7,2,0
98,39.95102602,-82.86570934,1,5913.279832,0.0,5.5,3,0
99,39.93413355,-83.04209032,0,3415.472995,0.0,0.0,0,0
100,39.89643307,-83.45332101,None,513.0546994,0.0,21.6,3,0
101,40.18980073,-83.38586889,None,74.81616064,0.0,0.0,0,0
