Latitude (X),Longitude (Y),POI_TYPE,Pop_Den,Cam_Present,Tornado Distance,Tornado Magnitude,Classification (Output)
39.83294943,-83.26533137,None,34.42414211,0,5.2,3,0
39.84849871,-83.09166429,None,479.0890916,0,0,0,0
40.29987864,-83.12246123,None,1750.880217,0,29.7,2,0
40.11162544,-83.09351354,2,1042.556055,0,13.1,2,0
39.90610247,-83.19047277,None,231.3519039,0,5.2,3,0
40.29650237,-83.1296615,None,50.92430685,0,29.7,2,0
39.95102602,-82.86570934,1,5913.279832,1,5.5,3,0
39.93413355,-83.04209032,0,3415.472995,1,0,0,0
39.89643307,-83.45332101,None,513.0546994,0,21.6,3,0
40.18980073,-83.38586889,None,74.81616064,0,0,0,0
40.17415711,-83.04267538,None,349.2476683,0,13.1,2,0
39.8440923,-83.58474253,None,nan,0,24.7,2,0
39.81668317,-83.2707202,None,34.42414211,0,0,0,0
40.1199174,-82.95845309,0,657.6835926,0,0,0,0
40.31153998,-83.20778506,None,44.76187266,0,29.7,2,0
39.82216938,-83.59032876,None,nan,0,24.7,2,0
39.93132908,-82.92204045,1,5880.948543,1,5.5,3,0
39.98656957,-83.66622349,None,nan,0,30.4,3,0
39.63347313,-83.20504957,None,30.6780109,0,0,0,0
39.65326517,-83.21093814,None,30.6780109,0,0,0,0
39.74299133,-83.04432872,None,94.80199903,0,0,0,0
39.97066301,-82.89023265,2,8326.950667,1,5.5,3,0
39.9859246,-83.18879485,None,103.1198164,0,5.2,3,0
39.97892183,-83.55506215,None,nan,0,30.4,3,0
40.00764411,-83.73571256,None,nan,0,0,0,0
40.12162159,-83.06889496,2,6103.547483,0,13.1,2,0
39.8600999,-83.40992919,None,35.72881924,0,21.6,3,0
39.81437187,-83.1468352,None,193.4342182,0,0,0,0
39.97645367,-83.43784081,None,38.63083773,0,21.6,3,0
39.65754691,-83.1715165,None,31.23169056,0,0,0,0
39.6402323,-83.1249773,None,31.23169056,0,0,0,0
40.07371054,-83.71556917,None,nan,0,0,0,0
40.03309781,-83.09781037,2,2069.635081,0,13.1,2,0
39.92711388,-82.90876068,2,6664.567825,1,5.5,3,0
40.00550504,-82.94909369,1,5484.830099,1,5.5,3,0
