OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
575,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Transit Oriented Dev.,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
576,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Low Density Cluster,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
578,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Neighborhood General,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
579,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Neighborhood Edge,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
580,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Existing Park,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
581,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Existing Public Facilities,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
582,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Cluster Development,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
584,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Existing Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
585,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Existing Multi-Family,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
586,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Hayden Run Buffer,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
587,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Industrial (Light),Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
588,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Medium Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
589,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Single/ Two Family,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
590,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Multifamily,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
591,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
